budget,start_month,days,region,facebook,google_display,google_search,instagram,needs_intervention,time_progress_s3,remaining_days,impr_s3_ratio,impr_per_day_s3,required_impr_per_day,speed_ratio,projected_ratio,growth_1_2,growth_2_3,growth_acceleration,budget_per_day,n_channels,google_any
20400,9,57,germany,0,0,0,1,0,0.7543859649122807,14,2.2358914215686276,212149.6976744186,-389316.9285714286,-1.8351048002382948,2.9638560704514365,1445833.0,1747435.0,301602.0,357.89473684210526,1,0
18300,12,154,austria,1,1,1,1,0,0.7532467532467533,38,0.8568931693989071,27036.456896551725,4151.868421052632,0.15356555176363246,1.1375995524778595,675271.0,608187.0,-67084.0,118.83116883116882,4,1
10900,5,33,switzerland,1,1,1,1,0,0.7575757575757576,8,0.7311637614678899,63757.48,46007.875,0.7216074882507904,0.9651361651376146,334042.0,408846.0,74804.0,330.3030303030303,4,1
10700,3,110,germany,1,1,1,1,0,0.7454545454545455,28,0.8015228971962617,20917.79268292683,7526.464285714285,0.3598115919686598,1.0752136425803511,332777.0,373221.0,40444.0,97.27272727272727,4,1
10600,5,473,germany,1,0,1,1,0,0.7505285412262156,118,0.7855075471698113,4690.918309859155,2056.9830508474574,0.4385032769648079,1.0466058304544246,291655.0,430190.0,138535.0,22.41014799154334,3,1
8300,6,42,germany,1,1,1,1,0,0.7619047619047619,10,1.0663253012048193,55315.625,-27610.0,-0.49913564205412125,1.3995519578313254,436887.0,300882.0,-136005.0,197.61904761904762,4,1
8100,2,333,germany,1,1,1,1,1,0.7507507507507507,83,0.5276925925925926,3419.448,7266.722891566265,2.12511577645464,0.7028865333333333,185810.0,135231.0,-50579.0,24.324324324324323,4,1
6700,12,251,germany,1,0,1,1,0,0.749003984063745,63,0.5490074626865672,3913.1382978723404,7465.555555555556,1.9078179678992544,0.7329833677357892,103580.0,16857.0,-86723.0,26.693227091633467,3,1
6500,5,64,germany,1,0,1,1,0,0.75,16,0.8975292307692307,24308.083333333332,200.75,0.008258569680181833,1.196705641025641,230695.0,226710.0,-3985.0,101.5625,3,1
6200,4,55,germany,1,0,1,1,0,0.7454545454545455,14,0.5389201612903226,16299.048780487805,31981.35714285714,1.9621609563585827,0.7229416797797009,66197.0,246595.0,180398.0,112.72727272727273,3,1
6100,7,14,germany,1,0,1,1,0,0.7142857142857143,4,1.856293442622951,226467.8,-291669.5,-1.2879071550127656,2.5988108196721313,435474.0,645582.0,210108.0,435.7142857142857,3,1
